DC Bus;Pack;Pack;pack-charge;Battery;Status
Ahr;V;Ahr;%;degC;Condition
2320.000;357.580;2320.000;23.200;29.680;Ok
2300.000;356.290;2300.000;23.000;29.680;Ok
2280.000;360.460;2280.000;22.800;29.680;Ok
2260.000;360.460;2260.000;22.600;29.680;Ok
2236.670;360.630;2236.670;22.370;29.680;Ok
2223.330;352.080;2223.330;22.230;29.680;Ok
2200.000;360.570;2200.000;22.000;29.680;Ok
2256.670;356.270;2256.670;22.570;29.680;Ok
2306.670;357.580;2306.670;23.070;29.890;Ok
2403.330;360.420;2403.330;24.030;29.890;Ok
2616.670;357.770;2616.670;26.170;29.890;Ok
3650.000;356.250;3650.000;36.500;29.890;Ok
2983.330;352.080;2983.330;29.830;29.890;Ok
2940.000;362.660;2940.000;29.400;29.890;Ok
2856.670;364.660;2856.670;28.570;29.890;Ok
3043.330;356.250;3043.330;30.430;29.890;Ok
2693.330;349.190;2693.330;26.930;29.890;Ok
2993.330;356.290;2993.330;29.930;29.890;Ok
2570.000;357.770;2570.000;25.700;29.890;Ok
2476.670;360.460;2476.670;24.770;29.890;Ok
2500.000;356.270;2500.000;25.000;29.890;Ok
2653.330;356.270;2653.330;26.530;30.100;Ok
2726.670;360.460;2726.670;27.270;30.100;Ok
2730.000;364.660;2730.000;27.300;30.100;Ok
3036.670;355.490;3036.670;30.370;30.100;Ok
2990.000;360.460;2990.000;29.900;30.100;Ok
4396.670;360.480;4396.670;43.970;30.100;Ok
4766.670;348.240;4766.670;47.670;30.100;Ok
6476.670;339.940;6476.670;64.770;30.100;Ok
3323.330;347.860;3323.330;33.230;30.100;Ok
3106.670;352.180;3106.670;31.070;30.100;Ok
3246.670;355.340;3246.670;32.470;30.100;Ok
3370.000;352.080;3370.000;33.700;30.100;Ok
3616.670;356.270;3616.670;36.170;30.100;Ok
3443.330;356.270;3443.330;34.430;30.210;Ok
3466.670;356.270;3466.670;34.670;30.210;Ok
3443.330;360.460;3443.330;34.430;30.210;Ok
3350.000;357.580;3350.000;33.500;30.210;Ok
3280.000;356.270;3280.000;32.800;30.210;Ok
3200.000;356.270;3200.000;32.000;30.210;Ok
3086.670;352.830;3086.670;30.870;30.210;Ok
2960.000;352.240;2960.000;29.600;30.210;Ok
2833.330;356.270;2833.330;28.330;30.210;Ok
2730.000;356.270;2730.000;27.300;30.210;Ok
2670.000;356.270;2670.000;26.700;30.210;Ok
2623.330;359.160;2623.330;26.230;30.210;Ok
2593.330;360.420;2593.330;25.930;30.210;Ok
2610.000;356.270;2610.000;26.100;30.520;Ok
2636.670;356.270;2636.670;26.370;30.520;Ok
2690.000;356.080;2690.000;26.900;30.520;Ok
2790.000;352.080;2790.000;27.900;30.520;Ok
2893.330;356.140;2893.330;28.930;30.520;Ok
3010.000;356.270;3010.000;30.100;30.520;Ok
3120.000;356.270;3120.000;31.200;30.520;Ok
3213.330;360.460;3213.330;32.130;30.520;Ok
3333.330;358.950;3333.330;33.330;30.520;Ok
3450.000;356.270;3450.000;34.500;30.520;Ok
3580.000;356.270;3580.000;35.800;30.520;Ok
3673.330;354.060;3673.330;36.730;30.520;Ok
3656.670;352.080;3656.670;36.570;30.520;Ok
3680.000;356.270;3680.000;36.800;30.730;Ok
3733.330;356.250;3733.330;37.330;30.730;Ok
3793.330;356.290;3793.330;37.930;30.730;Ok
3890.000;360.460;3890.000;38.900;30.730;Ok
4053.330;356.630;4053.330;40.530;30.730;Ok
3956.670;356.270;3956.670;39.570;30.730;Ok
3913.330;360.460;3913.330;39.130;30.730;Ok
3843.330;356.270;3843.330;38.430;30.730;Ok
3830.000;352.080;3830.000;38.300;30.730;Ok
3843.330;355.490;3843.330;38.430;30.730;Ok
3850.000;356.270;3850.000;38.500;30.730;Ok
3863.330;356.270;3863.330;38.630;30.730;Ok
3843.330;356.270;3843.330;38.430;30.730;Ok
3850.000;360.460;3850.000;38.500;30.940;Ok
3860.000;357.580;3860.000;38.600;30.940;Ok
3873.330;352.080;3873.330;38.730;30.940;Ok
3823.330;352.080;3823.330;38.230;30.940;Ok
3826.670;356.270;3826.670;38.270;30.940;Ok
3873.330;356.270;3873.330;38.730;30.940;Ok
3936.670;354.270;3936.670;39.370;30.940;Ok
3986.670;356.270;3986.670;39.870;30.940;Ok
4056.670;352.080;4056.670;40.570;30.940;Ok
4123.330;349.190;4123.330;41.230;30.940;Ok
4193.330;347.900;4193.330;41.930;30.940;Ok
4250.000;352.080;4250.000;42.500;30.940;Ok
4203.330;352.830;4203.330;42.030;30.940;Ok
4160.000;352.240;4160.000;41.600;31.150;Ok
4093.330;356.270;4093.330;40.930;31.150;Ok
4026.670;352.180;4026.670;40.270;31.150;Ok
3966.670;352.080;3966.670;39.670;31.150;Ok
3876.670;352.080;3876.670;38.770;31.150;Ok
3776.670;352.030;3776.670;37.770;31.150;Ok
3663.330;347.880;3663.330;36.630;31.150;Ok
3520.000;351.700;3520.000;35.200;31.150;Ok
3410.000;352.080;3410.000;34.100;31.150;Ok
3300.000;352.080;3300.000;33.000;31.150;Ok
3196.670;356.140;3196.670;31.970;31.150;Ok
3116.670;355.340;3116.670;31.170;31.150;Ok
3046.670;352.080;3046.670;30.470;31.150;Ok
2980.000;352.080;2980.000;29.800;31.360;Ok
2906.670;350.580;2906.670;29.070;31.360;Ok
2823.330;360.460;2823.330;28.230;31.360;Ok
2783.330;352.080;2783.330;27.830;31.360;Ok
2733.330;352.080;2733.330;27.330;31.360;Ok
2676.670;352.080;2676.670;26.770;31.360;Ok
2616.670;356.270;2616.670;26.170;31.360;Ok
2576.670;352.830;2576.670;25.770;31.360;Ok
2546.670;352.080;2546.670;25.470;31.360;Ok
2516.670;352.080;2516.670;25.170;31.360;Ok
2480.000;348.240;2480.000;24.800;31.360;Ok
2443.330;359.980;2443.330;24.430;31.360;Ok
2436.670;356.250;2436.670;24.370;31.360;Ok
2426.670;352.080;2426.670;24.270;31.570;Ok
